Model,Test Loss,Test Accuracy,Weighted Precision,Weighted Recall,Weighted F1-Score,Correct Predictions,Wrong Predictions,Total Test Images
MobileNetV2 Transfer Learning,0.0555,0.9853,0.9865,0.9853,0.9853,201,3,204
EfficientNetB0 Transfer Learning,0.0755,0.9804,0.9832,0.9804,0.9809,200,4,204
Improved CNN,0.2811,0.9069,0.9121,0.9069,0.9044,185,19,204
